Date,Jumlah Bidan,Jumlah Perawat,Jumlah Dokter Umum,Jumlah Ahli Gizi,AVLOS (Day),BOR (%),GDR (/K),Layanan OBGYN,NDR (/K),TOI (Day),Bayi BBLR,Rasio_BBLR,Persentase_ASI,Rasio_AKI,Rasio_AKB,days_in_month,HI,BTO_month,IdleShare,EDR,ASI_gap_target,BOR_status,TOI_status,Capacity_alert,BOR (%)_fc_lower,BOR (%)_fc_upper,AVLOS (Day)_fc_lower,AVLOS (Day)_fc_upper,NDR (/K)_fc_lower,NDR (/K)_fc_upper,GDR (/K)_fc_lower,GDR (/K)_fc_upper,TOI (Day)_fc_lower,TOI (Day)_fc_upper,Rasio_AKI_fc_lower,Rasio_AKI_fc_upper,Rasio_AKB_fc_lower,Rasio_AKB_fc_upper,Rasio_BBLR_fc_lower,Rasio_BBLR_fc_upper
2021-10-01,32112.0,55350.0,18919.0,3253.0,3.466666666666667,47.71333333333333,41.443333333333335,544.0,16.13,3.9,60.0,0.1212121212121212,0.6960999999999999,2.26,1.8,31.0,7.366666666666667,4.208144796380091,0.5228666666666667,25.313333333333336,-79.3039,under-utilized,lambat,0.0,,,,,,,,,,,,,,,,
2021-11-01,32112.0,55350.0,18919.0,3253.0,3.3366666666666664,56.376666666666665,45.18333333333334,628.0,22.87,2.84,60.0,0.1212121212121212,0.6960999999999999,2.26,1.8,30.0,6.176666666666666,4.856988667026444,0.43623333333333336,22.313333333333336,-79.3039,under-utilized,sehat,0.0,,,,,,,,,,,,,,,,
2021-12-01,32112.0,55350.0,18919.0,3253.0,3.206666666666667,64.22000000000001,30.695,614.0,19.19333333333333,2.13,60.0,0.1212121212121212,0.6960999999999999,2.26,1.8,31.0,5.336666666666667,5.8088694565896315,0.3577999999999999,11.501666666666669,-79.3039,optimal,sehat,0.0,,,,,,,,,,,,,,,,
2022-01-01,32370.0,70143.0,13821.0,3884.0,3.2266666666666666,65.67333333333333,45.68,660.0,25.416666666666668,2.335,39.0,0.0787878787878788,0.6972,1.48,1.75,31.0,5.5616666666666665,5.573868744381181,0.3432666666666667,20.263333333333332,-79.3028,optimal,sehat,0.0,,,,,,,,,,,,,,,,
2022-02-01,32370.0,70143.0,13821.0,3884.0,3.083333333333333,61.22,49.09666666666666,698.0,23.05666666666667,3.465,39.0,0.0787878787878788,0.6972,1.48,1.75,28.0,6.548333333333333,4.275897174853653,0.38780000000000003,26.03999999999999,-79.3028,optimal,lambat,0.0,,,,,,,,,,,,,,,,
2022-03-01,32370.0,70143.0,13821.0,3884.0,3.2133333333333334,63.99,48.09666666666666,580.0,19.91333333333333,3.26,39.0,0.0787878787878788,0.6972,1.48,1.75,31.0,6.473333333333333,4.788877445932029,0.3601,28.183333333333326,-79.3028,optimal,lambat,0.0,,,,,,,,,,,,,,,,
2022-04-01,32370.0,70143.0,13821.0,3884.0,3.1766666666666663,56.53666666666667,42.376666666666665,586.0,22.863333333333333,3.65,45.0,0.0909090909090909,0.6972,1.48,1.75,30.0,6.826666666666666,4.39453125,0.4346333333333333,19.513333333333332,-79.3028,under-utilized,lambat,0.0,,,,,,,,,,,,,,,,
2022-05-01,32370.0,70143.0,13821.0,3884.0,3.1966666666666668,64.18666666666667,50.76666666666667,542.0,26.953333333333333,3.13,45.0,0.0909090909090909,0.6972,1.48,1.75,31.0,6.326666666666666,4.899894625922023,0.3581333333333333,23.81333333333334,-79.3028,optimal,lambat,0.0,,,,,,,,,,,,,,,,
2022-06-01,32370.0,70143.0,13821.0,3884.0,3.15,65.39666666666666,41.14666666666667,668.0,20.66,2.26,45.0,0.0909090909090909,0.6972,1.48,1.75,30.0,5.41,5.545286506469501,0.3460333333333334,20.486666666666668,-79.3028,optimal,sehat,0.0,,,,,,,,,,,,,,,,
2022-07-01,32370.0,70143.0,13821.0,3884.0,3.1633333333333336,58.99333333333334,45.73666666666667,598.0,17.080000000000002,3.4,49.0,0.0989898989898989,0.6972,1.48,1.75,31.0,6.5633333333333335,4.723209751142712,0.4100666666666666,28.65666666666667,-79.3028,under-utilized,lambat,0.0,,,,,,,,,,,,,,,,
2022-08-01,32370.0,70143.0,13821.0,3884.0,3.33,67.5,38.82333333333333,742.0,17.326666666666668,2.455,49.0,0.0989898989898989,0.6972,1.48,1.75,31.0,5.785,5.358686257562662,0.32499999999999996,21.496666666666663,-79.3028,optimal,sehat,0.0,,,,,,,,,,,,,,,,
2022-09-01,32370.0,70143.0,13821.0,3884.0,3.1166666666666667,64.76,46.89333333333334,750.0,20.50333333333333,2.34,49.0,0.0989898989898989,0.6972,1.48,1.75,30.0,5.456666666666667,5.497861942577886,0.35239999999999994,26.390000000000008,-79.3028,optimal,sehat,0.0,,,,,,,,,,,,,,,,
2022-10-01,32370.0,70143.0,13821.0,3884.0,3.2099999999999995,66.74666666666667,44.57,746.0,21.33333333333333,2.46,44.0,0.0888888888888888,0.6972,1.48,1.75,31.0,5.67,5.467372134038801,0.33253333333333335,23.23666666666667,-79.3028,optimal,sehat,0.0,,,,,,,,,,,,,,,,
2022-11-01,32370.0,70143.0,13821.0,3884.0,3.1733333333333333,67.77666666666667,40.57,736.0,24.066666666666663,2.41,44.0,0.0888888888888888,0.6972,1.48,1.75,30.0,5.583333333333334,5.3731343283582085,0.32223333333333326,16.503333333333337,-79.3028,optimal,sehat,0.0,,,,,,,,,,,,,,,,
2022-12-01,32370.0,70143.0,13821.0,3884.0,3.2099999999999995,69.97666666666667,49.76666666666667,682.0,26.416666666666668,2.42,44.0,0.0888888888888888,0.6972,1.48,1.75,31.0,5.629999999999999,5.506216696269983,0.30023333333333324,23.350000000000005,-79.3028,optimal,sehat,0.0,,,,,,,,,,,,,,,,
2023-01-01,,,,,3.1733333333333333,68.95666666666666,37.25333333333333,768.0,20.78,1.74,47.0,0.0949494949494949,0.7268000000000001,1.4,1.69,31.0,4.913333333333333,6.309362279511533,0.31043333333333334,16.47333333333333,-79.2732,optimal,sehat,0.0,,,,,,,,,,,,,,,,
